source	Visitors	Pageviews	Bounce Rate	Duration
Direct / None	5782	19507	61%	2m 39s
Google	769	2367	53%	1m 52s
galaxyproject.org	358	695	71%	38s
niaid.nih.gov	203	563	51%	1m 50s
baidu.com	55	56	98%	3s
Bing	47	242	59%	3m 07s
LinkedIn	42	62	70%	18s
DuckDuckGo	30	66	50%	2m 20s
science.org	27	90	48%	1m 39s
statics.teams.cdn.office.net	23	49	54%	1m 08s
GitHub	23	156	63%	2m 47s
forms.office.com	23	60	58%	1m 21s
Twitter	17	31	76%	36s
bv-brc.org	12	54	67%	4m 30s
Yandex	11	11	100%	-
blogs.biomedcentral.com	10	23	70%	24s
chatgpt.com	10	17	70%	32s
go.bsky.app	7	25	57%	3m 57s
researchspace.atlassian.net	6	44	14%	6m 48s
pathogendatanetwork.org	5	7	60%	5m 24s
training.galaxyproject.org	5	5	100%	-
Gmail	4	15	0%	6m 55s
mail.umontpellier.fr	4	6	50%	4m 02s
docs.galaxyproject.org	4	5	75%	-
nekrut.github.io	4	8	80%	5m 24s
bsky.app	3	3	100%	-
mail.mrc.gm	3	7	33%	6m 26s
Youtube	3	8	0%	2m 05s
hgdownload.soe.ucsc.edu	3	6	67%	6s
onlyoffice.dsi.uca.fr	2	2	100%	-
alpha.bv-brc.org	2	3	50%	1s
usc-word-edit.officeapps.live.com	2	3	50%	36s
Yahoo!	2	18	50%	3m 20s
mail.etu.umontpellier.fr	1	2	0%	6s
mesamalaria.org	1	1	100%	-
hub.usegalaxy.cn	1	1	100%	-
confluence.ncbi.nlm.nih.gov	1	1	100%	-
dxkb.theseed.org	1	1	100%	-
scanmail.trustwave.com	1	1	100%	-
114.114.114.114	1	2	0%	8s
confluence.egi.eu	1	1	100%	-
zt4.top	1	1	100%	-
datacache.galaxyproject.org	1	1	100%	-
copilot.microsoft.com	1	5	0%	1m 40s
Facebook	1	1	100%	-
x7x.top	1	1	100%	-
perplexity.ai	1	4	0%	6s
biorxiv.org	1	2	0%	5s
genome-test.gi.ucsc.edu	1	1	100%	-
jira.ncbi.nlm.nih.gov	1	5	0%	5m 41s
