country	Visitors	Pageviews	Bounce Rate	Duration
US	4594	19206	56%	4m 14s
CN	1452	1518	98%	1s
GB	395	925	56%	51s
DE	377	1268	54%	1m 56s
AU	297	1639	48%	4m 14s
CA	205	373	58%	16s
IN	122	228	75%	37s
FR	120	267	64%	1m 10s
CH	105	242	67%	1m 56s
BE	104	554	31%	4m 17s
NL	102	132	83%	7s
IT	98	201	45%	1m 00s
BR	88	166	81%	51s
ES	72	136	68%	42s
KE	66	107	77%	32s
VN	53	59	92%	11s
SG	47	95	85%	15s
RU	46	68	85%	12s
PL	40	75	82%	48s
JP	34	56	68%	50s
HK	31	43	84%	13s
SE	30	48	83%	21s
ZA	27	47	70%	26s
AT	26	39	78%	12s
CZ	24	37	88%	1m 28s
MX	22	30	83%	7s
NO	22	31	77%	7s
TR	19	26	79%	8s
NZ	19	23	79%	21s
IE	18	25	78%	-
TW	16	37	79%	39s
PT	16	39	76%	2m 36s
FI	15	17	87%	-
KR	15	23	80%	13s
IR	15	17	87%	1s
AR	14	21	94%	7s
HU	13	24	71%	38s
RO	13	15	92%	3s
TH	13	21	69%	22s
DK	11	11	100%	-
BD	11	15	82%	10s
AE	11	38	55%	1m 17s
ET	10	15	50%	9s
PE	10	16	75%	13s
SA	10	26	80%	26s
ID	10	16	80%	1m 11s
IQ	10	21	75%	1m 25s
IL	9	24	77%	3m 16s
GR	9	26	56%	49s
UA	9	12	89%	15s
NG	8	17	62%	9s
BM	8	17	62%	36s
SN	8	18	67%	2m 39s
MY	8	15	75%	10s
EG	8	10	75%	4s
AD	8	26	62%	10m 16s
CL	8	15	88%	28s
LU	8	8	100%	-
PH	7	10	88%	6s
GM	7	12	57%	2m 59s
CO	7	7	100%	-
CM	6	6	100%	-
MA	6	11	83%	4m 41s
DZ	6	6	100%	-
MW	5	9	80%	2s
BY	5	5	100%	-
BS	5	9	80%	11s
PK	5	14	80%	16s
AS	5	8	60%	8s
GH	4	7	50%	23s
CR	4	7	50%	58s
LV	4	6	75%	5m 00s
JO	4	12	75%	1m 43s
BO	3	3	100%	-
IS	3	3	100%	-
LB	3	3	100%	-
UG	3	5	67%	1m 23s
PA	3	3	100%	-
KZ	3	3	100%	-
LK	3	13	33%	2m 18s
BZ	3	9	67%	17s
EC	3	4	100%	-
MG	3	12	25%	1m 14s
KH	3	3	100%	-
PY	3	6	67%	37s
LA	3	3	100%	-
ML	2	2	100%	-
SK	2	3	50%	-
MN	2	22	0%	34s
TN	2	5	50%	1m 51s
AL	2	4	0%	30s
RS	2	3	50%	16s
BH	2	5	50%	5m 38s
RW	2	6	0%	58s
LT	2	2	100%	-
MU	2	3	50%	4s
VE	2	2	100%	-
PR	2	2	100%	-
QA	2	2	100%	-
TZ	2	2	100%	-
NA	1	1	100%	-
MD	1	1	100%	-
HR	1	2	0%	4s
LY	1	1	100%	-
SD	1	12	0%	3m 02s
ZM	1	4	0%	1m 16s
BF	1	1	100%	-
CD	1	1	100%	-
ZW	1	1	100%	-
CY	1	1	100%	-
NP	1	1	100%	-
BG	1	1	100%	-
BA	1	1	100%	-
AG	1	1	100%	-
AZ	1	1	100%	-
CG	1	1	100%	-
DO	1	1	100%	-
UZ	1	1	100%	-
SI	1	1	100%	-
GY	1	1	100%	-
SC	1	1	100%	-
AF	1	1	100%	-
AQ	1	3	0%	1m 52s
GU	1	5	0%	38s
